nonstereo_aromatic_smiles,pIC50,chembl_cid,Target ID,year
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(N)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3)cc2c1=O,7.714442690992226,CHEMBL4645130,4005,2020.0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccncc4)cc3)nc21,8.301029995663981,CHEMBL590073,4005,2010.0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccnc(C)c4)cc3)nc21,8.096910013008056,CHEMBL590577,4005,2010.0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4cccs4)cc3)nc21,8.602059991327963,CHEMBL590084,4005,2010.0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4cccnc4)cc3)nc21,8.022276394711152,CHEMBL589103,4005,2010.0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(N)=O)cc4)cc3)nc21,8.619788758288394,CHEMBL591759,4005,2010.0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)OC)cc4)cc3)nc21,7.632644078973981,CHEMBL592063,4005,2010.0
CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N(C)C)cc4)cc3)nc21,8.853871964321762,CHEMBL591358,4005,2010.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(OC)c(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c3)cc2c1=O,8.0,CHEMBL4639269,4005,2020.0
Cc1nc(NC(=O)N2CC(N(C)C)CC2C(N)=O)sc1-c1csc(C(C)(C)C)n1,6.34518491628705,CHEMBL3608933_CHEMBL3608935,4005,
O=C1NC(=O)C(=Cc2ccc(-c3cccc(O)c3)o2)S1,5.7447274948966935,CHEMBL208662,4005,2006.0
Cc1nc(NC(=O)CN)sc1-c1cncc(NS(=O)(=O)c2ccccc2)c1,6.2186036948032095,CHEMBL4177502,4005,2018.0
CC(=O)Nc1nc(C)c(-c2cnc(CC(F)(F)F)o2)s1,7.366531544420413,CHEMBL2204788,4005,2012.0
CC(=O)Nc1nc(C)c(-c2cnc(Cl)c(NS(=O)(=O)c3ccccc3)c2)s1,8.67778070526608,CHEMBL4174132,4005,2018.0
CC(=O)Nc1nc(C)c(-c2cnc(Nc3cccc(C(=O)O)c3)o2)s1,6.484126156288321,CHEMBL2204779,4005,2012.0
CC(=O)Nc1nc(C)c(-c2cnc(Nc3cccnc3)o2)s1,6.991399828238082,CHEMBL2203302,4005,2012.0
CC(=O)Nc1nc(C)c(-c2cnc(S(C)(=O)=O)o2)s1,6.709965388637482,CHEMBL2204778,4005,2012.0
CC(=O)Nc1nc(C)c(-c2cnc(Sc3cccnc3)o2)s1,6.950781977329818,CHEMBL2204785,4005,2012.0
CC(=O)Nc1nc(C)c(-c2csc(C(C)C)n2)s1,6.6777807052660805,CHEMBL3608321,4005,2015.0
CC(=O)Nc1nc2ccc(-c3ccc(N)nc3)cc2s1,7.167491087293763,CHEMBL2418946,4005,2013.0
Cc1ccccc1S(=O)(=O)N1CCN(c2nc(NCCN3CCOCC3)nc(N3CCOCC3)n2)CC1,7.494443061336178,CHEMBL4761484,4005,2021.0
CC(=O)Nc1nc2ccc(-c3cccc(NS(C)(=O)=O)c3)cn2n1,5.300000202445418,CHEMBL2064484,4005,2012.0
CC(=O)Nc1nc2ccc(-c3ccncc3)cn2n1,5.800000874803203,CHEMBL2064495,4005,2012.0
Cc1ccccc1S(=O)(=O)Nc1cc(-c2sc(NC(=O)C(N)C(C)C)nc2C)cnc1Cl,7.366531544420413,CHEMBL4161766,4005,2018.0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NC(=O)c4cccc(Cl)c4)c3)cc2s1,6.008773924307505,CHEMBL3604612,4005,2015.0
CC(=O)Nc1nc2ccc(-c3cnc(Cl)c(NC(C#N)c4ccccc4)c3)cc2s1,6.309803919971486,CHEMBL3604621,4005,2015.0
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2n1C,5.3979400086720375,CHEMBL2418959,4005,2013.0
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2o1,6.102372908709558,CHEMBL2418956,4005,2013.0
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C(F)(F)F)c3)cc2s1,8.102372908709558,CHEMBL2418948,4005,2013.0
CC(=O)Nc1nc2ccc(-c3cnc(N)c(C)c3)cc2s1,7.443697499232712,CHEMBL2418944,4005,2013.0
CC(=O)Nc1nc2ccc(-c3cccnc3)cc2s1,6.958607314841775,CHEMBL2418961,4005,2013.0
Cc1ccccc1OC(C)c1cc(C(=O)N(C)CCO)cn2c(=O)cc(N3CCOCC3)nc12,5.886056647693163,CHEMBL3318718,4005,2014.0
CC(=O)Nc1nc(C)c(-c2cnc(C(C)(C)C)o2)s1,7.823908740944319,CHEMBL2204791,4005,2012.0
CC(=O)Nc1nc(C)c(-c2cnc(-c3cccnc3)o2)s1,7.337242168318426,CHEMBL2204786,4005,2012.0
c1cc(N2CCc3c(-c4ccc5[nH]cnc5c4)nc(N4CCOCC4)nc32)ccn1,6.522878745280337,CHEMBL2314276,4005,2013.0
c1cc2c(N3CCOCC3)nc(-c3ccnc4[nH]ccc34)nn2c1,6.481486060122112,CHEMBL3601469,4005,2015.0
c1cc2c(N3CCOCC3)ncnn2c1,5.301029995663981,CHEMBL3326656,4005,2015.0
CC(=O)Nc1cccc(-c2ccc3c(c2)CN(C(=O)c2ccc(C(=O)C(F)(F)F)cc2)CCO3)c1,6.623423042943488,CHEMBL2333373,4005,2013.0
CC12COCCN1c1nc(-c3ccc(NC(=O)NC4CC4)cc3)ncc1N(CC1CC1)C2=O,6.0999990348465305,CHEMBL4540705,4005,2019.0
Cc1nc(C(=O)Nc2cc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4)c3)cc3[nH]ncc23)cs1,6.499996931948306,CHEMBL4576860,4005,2019.0
CN1CCN(Cc2ccc3c(N4CCOCC4)nc(-c4cnc(N)nc4)nn23)CC1,6.568636235841012,CHEMBL3601475,4005,2015.0
CN1CCN(CCn2ccc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,7.376750709602099,CHEMBL1091962,4005,2010.0
Cc1nc(-c2nc[nH]n2)ccc1-c1cnc2c(n1)N(CCC1CCOCC1)CC(=O)N2,5.638272163982407,CHEMBL3586386,4005,2015.0
