target,split,fold,fold_id,n_test,n_train,mean_max_sim,median_max_sim,frac_novel
4822,scaffold,2,tid4822_f2,223,804,0.7187466025352478,0.7424242496490479,0.02242152466367713
4822,scaffold,3,tid4822_f3,223,804,0.6697583198547363,0.6911764740943909,0.026905829596412557
4822,scaffold,4,tid4822_f4,223,804,0.6325027942657471,0.6774193644523621,0.07174887892376682
4822,scaffold,5,tid4822_f5,223,804,0.673592746257782,0.7121211886405945,0.06278026905829596
4822,butina,1,tid4822_f1,224,803,0.444417268037796,0.40942928194999695,0.17857142857142858
4822,butina,2,tid4822_f2,223,804,0.4800776243209839,0.45614033937454224,0.13452914798206278
4822,butina,3,tid4822_f3,223,804,0.38026633858680725,0.3855421543121338,0.42152466367713004
4822,butina,4,tid4822_f4,223,804,0.3515484631061554,0.2584269642829895,0.7174887892376681
4822,butina,5,tid4822_f5,223,804,0.38395440578460693,0.3235294222831726,0.5919282511210763
4822,diverse_25,1,tid4822_f1,56,201,0.4460652768611908,0.4552314579486847,0.16071428571428573
4822,diverse_25,2,tid4822_f2,56,201,0.46521657705307007,0.5,0.125
4822,diverse_25,3,tid4822_f3,56,201,0.46434521675109863,0.5219047665596008,0.17857142857142858
4822,diverse_25,4,tid4822_f4,56,201,0.4418475925922394,0.4724736213684082,0.17857142857142858
4822,diverse_25,5,tid4822_f5,55,202,0.4601178467273712,0.4933333396911621,0.16363636363636364
4822,umap,1,tid4822_f1,216,810,0.43760475516319275,0.43070363998413086,0.2824074074074074
4822,umap,2,tid4822_f2,233,795,0.507953405380249,0.5061728358268738,0.08583690987124463
4822,umap,3,tid4822_f3,257,774,0.43378615379333496,0.4237288236618042,0.245136186770428
4822,umap,4,tid4822_f4,236,792,0.2511412799358368,0.23845060169696808,0.8771186440677966
4822,umap,5,tid4822_f5,174,848,0.42704343795776367,0.42370346188545227,0.40229885057471265
4822,time,1,tid4822_f1,825,234,0.26691797375679016,0.24242424964904785,0.8872727272727273
4822,time,2,tid4822_f2,596,441,0.3566688299179077,0.31460675597190857,0.5855704697986577
4822,time,3,tid4822_f3,388,628,0.4496366083621979,0.45500504970550537,0.37371134020618557
4822,time,4,tid4822_f4,273,731,0.46417930722236633,0.47727271914482117,0.3553113553113553
