split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
umap,r2,t_target,lgbm,median,10,-0.08979214276067146,0.27291273392443394,0.3,0.32528055401252015,0.9871036945681724
umap,r2,t_target,chemeleon,monroe35,10,0.11736443920550015,0.161673475840996,0.7,0.04733834085769089,0.23669170428845446
umap,r2,t_target,chemeleon,median,10,-0.12205209727935588,0.3115772310889753,0.4,0.2467759236420431,0.9871036945681724
umap,r2,t_target,monroe35,median,10,-0.23941653648485609,0.22226447225190096,0.1,0.007795035218615169,0.04677021131169101
time,r2,t,knn,lgbm,50,0.19857528612267103,0.29743547144640703,0.84,2.0007593800841448e-05,0.00011399106629590233
time,r2,t,knn,chemeleon,50,0.23179580799125346,0.27999058334820964,0.78,3.9264784015342695e-07,3.1411827212274156e-06
time,r2,t,knn,monroe35,50,0.3435372546330473,0.2970221468323224,0.9,1.0207356679715005e-10,1.0207356679715005e-09
time,r2,t,knn,median,50,0.14947235830916947,0.3739024295820889,0.68,0.006788941738139819,0.027155766952559276
time,r2,t,lgbm,chemeleon,50,0.033220521868582445,0.17819568009488923,0.58,0.1935527382356609,0.3871054764713218
time,r2,t,lgbm,monroe35,50,0.14496196851037627,0.14677409099979663,0.88,7.0291427710612844e-09,6.326228493955156e-08
time,r2,t,lgbm,median,50,-0.04910292781350158,0.30801344043232837,0.4,0.26512401777692135,0.3871054764713218
time,r2,t,chemeleon,monroe35,50,0.11174144664179378,0.1668300539468163,0.78,1.8998511049317055e-05,0.00011399106629590233
time,r2,t,chemeleon,median,50,-0.08232344968208404,0.3188617391202993,0.4,0.0740076434318511,0.22202293029555328
time,r2,t,monroe35,median,50,-0.19406489632387783,0.2478799696548062,0.18,1.2037016220361446e-06,8.425911354253013e-06
time,r2,wilcoxon,knn,lgbm,50,0.19857528612267103,0.29743547144640703,0.84,1.6455253124547653e-06,8.227626562273826e-06
time,r2,wilcoxon,knn,chemeleon,50,0.23179580799125346,0.27999058334820964,0.78,5.7649630846867694e-08,4.6119704677494155e-07
time,r2,wilcoxon,knn,monroe35,50,0.3435372546330473,0.2970221468323224,0.9,4.9116266609416925e-12,4.9116266609416925e-11
time,r2,wilcoxon,knn,median,50,0.14947235830916947,0.3739024295820889,0.68,0.011200519477185367,0.04480207790874147
time,r2,wilcoxon,lgbm,chemeleon,50,0.033220521868582445,0.17819568009488923,0.58,0.3325668996889135,0.3325668996889135
time,r2,wilcoxon,lgbm,monroe35,50,0.14496196851037627,0.14677409099979663,0.88,1.8094681308866711e-10,1.628521317798004e-09
time,r2,wilcoxon,lgbm,median,50,-0.04910292781350158,0.30801344043232837,0.4,0.07082612042920822,0.14165224085841643
time,r2,wilcoxon,chemeleon,monroe35,50,0.11174144664179378,0.1668300539468163,0.78,8.784112139892386e-07,5.7664895365405755e-06
time,r2,wilcoxon,chemeleon,median,50,-0.08232344968208404,0.3188617391202993,0.4,0.043975372036140215,0.13192611610842064
time,r2,wilcoxon,monroe35,median,50,-0.19406489632387783,0.2478799696548062,0.18,8.237842195057965e-07,5.7664895365405755e-06
time,r2,t_target,knn,lgbm,10,0.198575286122671,0.18347080617612996,0.9,0.007596425427918547,0.04557855256751128
time,r2,t_target,knn,chemeleon,10,0.23179580799125343,0.19000292913377395,1.0,0.0038597278241100813,0.03087782259288065
time,r2,t_target,knn,monroe35,10,0.34353725463304724,0.20671691529586916,1.0,0.0005239916409325951,0.005239916409325951
time,r2,t_target,knn,median,10,0.14947235830916944,0.29828304134268474,0.6,0.14750751466808523,0.5900300586723409
time,r2,t_target,lgbm,chemeleon,10,0.03322052186858245,0.10562197180209276,0.4,0.3459137615738089,1.0
time,r2,t_target,lgbm,monroe35,10,0.14496196851037624,0.1015651350683683,1.0,0.0014604401957185723,0.01314396176146715
time,r2,t_target,lgbm,median,10,-0.04910292781350158,0.20480781633759565,0.3,0.4677426577746099,1.0
time,r2,t_target,chemeleon,monroe35,10,0.11174144664179378,0.12399825673619715,0.8,0.019098618003536606,0.09549309001768302
time,r2,t_target,chemeleon,median,10,-0.08232344968208402,0.26242264495673456,0.2,0.34710599644267637,1.0
time,r2,t_target,monroe35,median,10,-0.1940648963238778,0.16484848761650187,0.1,0.004750504279702028,0.033253529957914196
random,spearman,t,knn,lgbm,50,0.019267832590479483,0.041128702782918004,0.72,0.001742053152126987,0.001742053152126987
random,spearman,t,knn,chemeleon,50,0.040300152400331725,0.03898522896212159,0.92,2.2019745250878852e-09,8.807898100351541e-09
random,spearman,t,knn,monroe35,50,0.05513034423545415,0.04115199341034104,0.96,1.1771266735376397e-12,7.062760041225838e-12
random,spearman,t,lgbm,chemeleon,50,0.021032319809852238,0.02878145176052229,0.78,4.348498714991764e-06,1.3045496144975291e-05
random,spearman,t,lgbm,monroe35,50,0.03586251164497467,0.028699283865030244,0.96,1.0365187029574613e-11,5.1825935147873065e-11
random,spearman,t,chemeleon,monroe35,50,0.01483019183512243,0.025498206255326495,0.72,0.00014889761468493535,0.0002977952293698707
random,spearman,wilcoxon,knn,lgbm,50,0.019267832590479483,0.041128702782918004,0.72,0.0003107899432901462,0.0003107899432901462
random,spearman,wilcoxon,knn,chemeleon,50,0.040300152400331725,0.03898522896212159,0.92,7.151434999741468e-11,2.8605739998965873e-10
random,spearman,wilcoxon,knn,monroe35,50,0.05513034423545415,0.04115199341034104,0.96,1.7763568394002505e-14,1.0658141036401503e-13
random,spearman,wilcoxon,lgbm,chemeleon,50,0.021032319809852238,0.02878145176052229,0.78,1.206143563692308e-06,3.6184306910769237e-06
random,spearman,wilcoxon,lgbm,monroe35,50,0.03586251164497467,0.028699283865030244,0.96,3.375077994860476e-14,1.687538997430238e-13
random,spearman,wilcoxon,chemeleon,monroe35,50,0.01483019183512243,0.025498206255326495,0.72,6.825250486741652e-05,0.00013650500973483304
random,spearman,t_target,knn,lgbm,10,0.019267832590479504,0.03422797059358591,0.9,0.10875388231315852,0.10875388231315852
random,spearman,t_target,knn,chemeleon,10,0.040300152400331725,0.03316975102083526,1.0,0.003954026747046232,0.007908053494092465
random,spearman,t_target,knn,monroe35,10,0.055130344235454175,0.032146759020023265,1.0,0.00042009514342324626,0.0025205708605394775
