target,split,fold,method,n,mae,r2,spearman,source
279,butina,5,pub_gnn,,0.8049651384353638,0.1163125038146972,0.4574812999069995,published
279,butina,5,pub_knn,,0.8434955220157564,0.0677236189969696,0.4315186875954013,published
279,butina,5,pub_mlp,,0.7982390522956848,0.2072636485099792,0.4712019299047976,published
279,butina,5,pub_rf,,0.7963271362683363,0.2586944543131213,0.4885205162966044,published
279,butina,5,pub_svm,,0.7628175145395203,0.3048871507315341,0.5606063093752652,published
279,butina,5,pub_xgboost,,0.7812860173889565,0.2190439201903892,0.4778513528613194,published
284,butina,1,chemeleon,264.0,0.6710873530630023,0.2649262620770405,0.5776594213480759,fitted
284,butina,1,knn,264.0,0.892306738073715,-0.36719338262768964,0.3139372949218392,fitted
284,butina,1,lgbm,264.0,0.7920265259381033,0.010538515545998162,0.412009271906572,fitted
284,butina,1,median,264.0,0.8643146647713967,-0.02548198661798229,,fitted
284,butina,1,monroe35,264.0,0.6836027001957266,0.2510981286982733,0.5620047068551143,fitted
284,butina,1,pub_gnn,,0.8528622388839722,-0.1442412137985229,0.2826223183105624,published
284,butina,1,pub_knn,,0.8923067406553894,-0.3671933868670463,0.3139327805184099,published
284,butina,1,pub_mlp,,0.6984173059463501,0.2614126205444336,0.5061340991749697,published
284,butina,1,pub_rf,,0.6835731237998005,0.2550800556315183,0.4685390871697681,published
284,butina,1,pub_svm,,0.71315627701141,0.2637123759642894,0.5378987815029513,published
284,butina,1,pub_xgboost,,0.6861383548819402,0.2078236464922754,0.5020828835231076,published
284,butina,2,chemeleon,263.0,0.6585569108511079,-0.4883265450011376,0.012414011933678347,fitted
284,butina,2,knn,263.0,0.8105976197286648,-1.2802663793940154,-0.061792499508686365,fitted
284,butina,2,lgbm,263.0,0.5862896087606295,-0.313199475262238,0.11482395859966087,fitted
284,butina,2,median,263.0,0.5961132441516075,-0.2166439122150008,,fitted
284,butina,2,monroe35,263.0,0.5867438672061153,-0.21968974039994826,0.23623700059845423,fitted
284,butina,2,pub_gnn,,0.5835185050964355,-0.4938470125198364,0.2434573866265323,published
284,butina,2,pub_knn,,0.810597617986586,-1.2802663778794572,-0.0617924995086863,published
284,butina,2,pub_mlp,,0.6619627475738525,-0.5473756790161133,0.0652262538441594,published
284,butina,2,pub_rf,,0.5593101073235133,-0.0625006627244815,0.0998602817710388,published
284,butina,2,pub_svm,,0.5652233268899663,-0.1309917538400853,0.1034485602158268,published
284,butina,2,pub_xgboost,,0.6231992952334278,-0.3787812260505345,0.084753178427756,published
284,butina,3,chemeleon,263.0,0.7721207107657085,-0.007882536895654546,0.5192661567769754,fitted
284,butina,3,knn,263.0,0.7707440634214648,-0.06253994007142194,0.3979376720584965,fitted
284,butina,3,lgbm,263.0,0.8258672894992908,-0.10166126731013825,0.2917513933295075,fitted
284,butina,3,median,263.0,0.8434812316333177,-0.012643406965675341,,fitted
284,butina,3,monroe35,263.0,0.8518961311914159,-0.16010362334304173,0.1804866979395125,fitted
